,DateTimeKey,Date Time Hour Beginning,Hourly UCLF+OCLF
0,2022-02-20 00:00:00,2022-02-20 00:00:00,13761.832
1,2022-02-20 01:00:00,2022-02-20 01:00:00,13368.258
2,2022-02-20 02:00:00,2022-02-20 02:00:00,14156.687
3,2022-02-20 03:00:00,2022-02-20 03:00:00,14800.708
4,2022-02-20 04:00:00,2022-02-20 04:00:00,14879.041
5,2022-02-20 05:00:00,2022-02-20 05:00:00,15034.158
6,2022-02-20 06:00:00,2022-02-20 06:00:00,15333.233
7,2022-02-20 07:00:00,2022-02-20 07:00:00,14904.208
8,2022-02-20 08:00:00,2022-02-20 08:00:00,14748.365
9,2022-02-20 09:00:00,2022-02-20 09:00:00,14658.626
10,2022-02-20 10:00:00,2022-02-20 10:00:00,14922.255
11,2022-02-20 11:00:00,2022-02-20 11:00:00,15174.109
12,2022-02-20 12:00:00,2022-02-20 12:00:00,15255.856
13,2022-02-20 13:00:00,2022-02-20 13:00:00,15031.02
14,2022-02-20 14:00:00,2022-02-20 14:00:00,14875.792
15,2022-02-20 15:00:00,2022-02-20 15:00:00,14655.79
16,2022-02-20 16:00:00,2022-02-20 16:00:00,14452.098
17,2022-02-20 17:00:00,2022-02-20 17:00:00,13798.949
18,2022-02-20 18:00:00,2022-02-20 18:00:00,13469.488
19,2022-02-20 19:00:00,2022-02-20 19:00:00,13378.866
20,2022-02-20 20:00:00,2022-02-20 20:00:00,13393.368
21,2022-02-20 21:00:00,2022-02-20 21:00:00,13345.494
22,2022-02-20 22:00:00,2022-02-20 22:00:00,13316.875
23,2022-02-20 23:00:00,2022-02-20 23:00:00,13223.139
24,2022-02-21 00:00:00,2022-02-21 00:00:00,13026.547
25,2022-02-21 01:00:00,2022-02-21 01:00:00,13563.836
26,2022-02-21 02:00:00,2022-02-21 02:00:00,13462.066
27,2022-02-21 03:00:00,2022-02-21 03:00:00,13372.538
28,2022-02-21 04:00:00,2022-02-21 04:00:00,13090.412
29,2022-02-21 05:00:00,2022-02-21 05:00:00,13042.287
30,2022-02-21 06:00:00,2022-02-21 06:00:00,12956.573
31,2022-02-21 07:00:00,2022-02-21 07:00:00,12951.68
32,2022-02-21 08:00:00,2022-02-21 08:00:00,13393.155
33,2022-02-21 09:00:00,2022-02-21 09:00:00,13240.586
34,2022-02-21 10:00:00,2022-02-21 10:00:00,13411.705
